geoName,weight loss
Alabama,97
Alaska,74
Arizona,72
Arkansas,81
California,55
Colorado,62
Connecticut,64
Delaware,55
District of Columbia,67
Florida,75
Georgia,80
Hawaii,55
Idaho,67
Illinois,66
Indiana,69
Iowa,67
Kansas,73
Kentucky,88
Louisiana,82
Maine,63
Maryland,67
Massachusetts,61
Michigan,68
Minnesota,63
Mississippi,100
Missouri,73
Montana,67
Nebraska,75
Nevada,68
New Hampshire,63
New Jersey,64
New Mexico,64
New York,59
North Carolina,79
North Dakota,79
Ohio,73
Oklahoma,79
Oregon,65
Pennsylvania,68
Rhode Island,69
South Carolina,82
South Dakota,96
Tennessee,85
Texas,75
Utah,67
Vermont,57
Virginia,72
Washington,60
West Virginia,92
Wisconsin,66
Wyoming,72
