geoName,weight loss
Alabama,93
Alaska,73
Arizona,82
Arkansas,81
California,62
Colorado,68
Connecticut,72
Delaware,74
District of Columbia,67
Florida,71
Georgia,86
Hawaii,64
Idaho,79
Illinois,69
Indiana,74
Iowa,68
Kansas,72
Kentucky,93
Louisiana,90
Maine,66
Maryland,72
Massachusetts,70
Michigan,74
Minnesota,65
Mississippi,100
Missouri,75
Montana,68
Nebraska,72
Nevada,67
New Hampshire,67
New Jersey,70
New Mexico,76
New York,69
North Carolina,82
North Dakota,70
Ohio,76
Oklahoma,78
Oregon,65
Pennsylvania,75
Rhode Island,67
South Carolina,80
South Dakota,72
Tennessee,91
Texas,73
Utah,69
Vermont,71
Virginia,78
Washington,71
West Virginia,96
Wisconsin,70
Wyoming,77
