geoName,weight loss
Alabama,99
Alaska,72
Arizona,74
Arkansas,92
California,62
Colorado,68
Connecticut,67
Delaware,72
District of Columbia,74
Florida,77
Georgia,87
Hawaii,59
Idaho,71
Illinois,71
Indiana,77
Iowa,73
Kansas,77
Kentucky,91
Louisiana,89
Maine,65
Maryland,73
Massachusetts,65
Michigan,70
Minnesota,66
Mississippi,100
Missouri,81
Montana,69
Nebraska,81
Nevada,72
New Hampshire,67
New Jersey,69
New Mexico,70
New York,60
North Carolina,84
North Dakota,79
Ohio,76
Oklahoma,87
Oregon,68
Pennsylvania,74
Rhode Island,72
South Carolina,77
South Dakota,80
Tennessee,89
Texas,84
Utah,69
Vermont,65
Virginia,75
Washington,65
West Virginia,95
Wisconsin,70
Wyoming,72
