geoName,isolated
Alabama,66
Alaska,57
Arizona,68
Arkansas,93
California,75
Colorado,69
Connecticut,80
Delaware,53
District of Columbia,53
Florida,71
Georgia,61
Hawaii,69
Idaho,74
Illinois,66
Indiana,86
Iowa,63
Kansas,61
Kentucky,66
Louisiana,64
Maine,66
Maryland,90
Massachusetts,87
Michigan,70
Minnesota,64
Mississippi,72
Missouri,57
Montana,66
Nebraska,57
Nevada,66
New Hampshire,60
New Jersey,72
New Mexico,56
New York,67
North Carolina,73
North Dakota,84
Ohio,70
Oklahoma,50
Oregon,44
Pennsylvania,69
Rhode Island,78
South Carolina,63
South Dakota,100
Tennessee,64
Texas,69
Utah,55
Vermont,70
Virginia,51
Washington,73
West Virginia,64
Wisconsin,60
Wyoming,26
