geoName,isolated
Alabama,77
Alaska,52
Arizona,65
Arkansas,92
California,71
Colorado,68
Connecticut,73
Delaware,86
District of Columbia,55
Florida,73
Georgia,71
Hawaii,79
Idaho,99
Illinois,58
Indiana,79
Iowa,82
Kansas,78
Kentucky,87
Louisiana,49
Maine,72
Maryland,87
Massachusetts,83
Michigan,79
Minnesota,72
Mississippi,41
Missouri,69
Montana,66
Nebraska,49
Nevada,49
New Hampshire,87
New Jersey,75
New Mexico,49
New York,64
North Carolina,68
North Dakota,89
Ohio,79
Oklahoma,65
Oregon,59
Pennsylvania,77
Rhode Island,76
South Carolina,74
South Dakota,71
Tennessee,85
Texas,58
Utah,80
Vermont,95
Virginia,89
Washington,60
West Virginia,50
Wisconsin,66
Wyoming,100
