date,isolated,isPartial
2011-01-02,49,False
2011-01-09,60,False
2011-01-16,69,False
2011-01-23,95,False
2011-01-30,67,False
2011-02-06,81,False
2011-02-13,81,False
2011-02-20,75,False
2011-02-27,82,False
2011-03-06,70,False
2011-03-13,73,False
2011-03-20,71,False
2011-03-27,78,False
2011-04-03,85,False
2011-04-10,86,False
2011-04-17,85,False
2011-04-24,79,False
2011-05-01,70,False
2011-05-08,90,False
2011-05-15,80,False
2011-05-22,100,False
2011-05-29,60,False
2011-06-05,72,False
2011-06-12,89,False
2011-06-19,89,False
2011-06-26,78,False
2011-07-03,75,False
2011-07-10,75,False
2011-07-17,80,False
2011-07-24,67,False
2011-07-31,80,False
2011-08-07,68,False
2011-08-14,59,False
2011-08-21,60,False
2011-08-28,72,False
2011-09-04,79,False
2011-09-11,82,False
2011-09-18,79,False
2011-09-25,85,False
2011-10-02,84,False
2011-10-09,74,False
2011-10-16,78,False
2011-10-23,86,False
2011-10-30,68,False
2011-11-06,64,False
2011-11-13,89,False
2011-11-20,58,False
2011-11-27,65,False
2011-12-04,79,False
2011-12-11,63,False
2011-12-18,54,False
2011-12-25,40,False
