geoName,isolated
Alabama,82
Alaska,71
Arizona,67
Arkansas,100
California,65
Colorado,54
Connecticut,85
Delaware,68
District of Columbia,55
Florida,69
Georgia,59
Hawaii,66
Idaho,86
Illinois,65
Indiana,83
Iowa,83
Kansas,69
Kentucky,52
Louisiana,68
Maine,56
Maryland,93
Massachusetts,80
Michigan,67
Minnesota,63
Mississippi,57
Missouri,52
Montana,52
Nebraska,74
Nevada,53
New Hampshire,72
New Jersey,69
New Mexico,73
New York,68
North Carolina,65
North Dakota,59
Ohio,76
Oklahoma,57
Oregon,38
Pennsylvania,74
Rhode Island,73
South Carolina,77
South Dakota,64
Tennessee,56
Texas,64
Utah,77
Vermont,78
Virginia,54
Washington,73
West Virginia,77
Wisconsin,74
Wyoming,49
