date,isolated,isPartial
2013-01-06,57,False
2013-01-13,66,False
2013-01-20,63,False
2013-01-27,97,False
2013-02-03,74,False
2013-02-10,73,False
2013-02-17,76,False
2013-02-24,90,False
2013-03-03,77,False
2013-03-10,77,False
2013-03-17,78,False
2013-03-24,67,False
2013-03-31,74,False
2013-04-07,86,False
2013-04-14,77,False
2013-04-21,80,False
2013-04-28,88,False
2013-05-05,66,False
2013-05-12,93,False
2013-05-19,74,False
2013-05-26,71,False
2013-06-02,73,False
2013-06-09,62,False
2013-06-16,76,False
2013-06-23,88,False
2013-06-30,67,False
2013-07-07,79,False
2013-07-14,80,False
2013-07-21,71,False
2013-07-28,56,False
2013-08-04,78,False
2013-08-11,63,False
2013-08-18,83,False
2013-08-25,80,False
2013-09-01,77,False
2013-09-08,84,False
2013-09-15,89,False
2013-09-22,85,False
2013-09-29,89,False
2013-10-06,87,False
2013-10-13,92,False
2013-10-20,100,False
2013-10-27,100,False
2013-11-03,98,False
2013-11-10,79,False
2013-11-17,91,False
2013-11-24,62,False
2013-12-01,86,False
2013-12-08,73,False
2013-12-15,63,False
2013-12-22,38,False
2013-12-29,47,False
