geoName,isolated
Alabama,53
Alaska,84
Arizona,41
Arkansas,55
California,48
Colorado,44
Connecticut,61
Delaware,54
District of Columbia,47
Florida,52
Georgia,46
Hawaii,51
Idaho,68
Illinois,51
Indiana,53
Iowa,52
Kansas,71
Kentucky,55
Louisiana,41
Maine,27
Maryland,57
Massachusetts,59
Michigan,47
Minnesota,51
Mississippi,39
Missouri,50
Montana,81
Nebraska,41
Nevada,57
New Hampshire,63
New Jersey,65
New Mexico,65
New York,52
North Carolina,45
North Dakota,44
Ohio,57
Oklahoma,62
Oregon,45
Pennsylvania,49
Rhode Island,48
South Carolina,65
South Dakota,100
Tennessee,54
Texas,41
Utah,45
Vermont,44
Virginia,59
Washington,43
West Virginia,73
Wisconsin,62
Wyoming,82
