geoName,isolated
Alabama,66
Alaska,59
Arizona,59
Arkansas,79
California,60
Colorado,60
Connecticut,61
Delaware,45
District of Columbia,57
Florida,54
Georgia,48
Hawaii,78
Idaho,71
Illinois,58
Indiana,72
Iowa,63
Kansas,52
Kentucky,76
Louisiana,57
Maine,64
Maryland,77
Massachusetts,65
Michigan,63
Minnesota,63
Mississippi,50
Missouri,64
Montana,72
Nebraska,56
Nevada,41
New Hampshire,64
New Jersey,64
New Mexico,63
New York,58
North Carolina,56
North Dakota,50
Ohio,74
Oklahoma,61
Oregon,49
Pennsylvania,64
Rhode Island,60
South Carolina,51
South Dakota,67
Tennessee,66
Texas,53
Utah,55
Vermont,100
Virginia,61
Washington,57
West Virginia,57
Wisconsin,57
Wyoming,51
