geoName,despondent
Alabama,35
Alaska,82
Arizona,44
Arkansas,22
California,56
Colorado,37
Connecticut,69
Delaware,12
District of Columbia,68
Florida,53
Georgia,46
Hawaii,81
Idaho,37
Illinois,41
Indiana,37
Iowa,36
Kansas,45
Kentucky,47
Louisiana,46
Maine,23
Maryland,53
Massachusetts,42
Michigan,51
Minnesota,41
Mississippi,44
Missouri,42
Montana,25
Nebraska,55
Nevada,62
New Hampshire,48
New Jersey,44
New Mexico,47
New York,47
North Carolina,41
North Dakota,73
Ohio,50
Oklahoma,52
Oregon,38
Pennsylvania,45
Rhode Island,16
South Carolina,56
South Dakota,60
Tennessee,35
Texas,43
Utah,48
Vermont,100
Virginia,33
Washington,46
West Virginia,40
Wisconsin,44
Wyoming,0
