date,despondent,isPartial
2013-01-06,40,False
2013-01-13,44,False
2013-01-20,70,False
2013-01-27,39,False
2013-02-03,45,False
2013-02-10,47,False
2013-02-17,31,False
2013-02-24,50,False
2013-03-03,48,False
2013-03-10,54,False
2013-03-17,35,False
2013-03-24,40,False
2013-03-31,37,False
2013-04-07,53,False
2013-04-14,60,False
2013-04-21,68,False
2013-04-28,43,False
2013-05-05,46,False
2013-05-12,67,False
2013-05-19,61,False
2013-05-26,46,False
2013-06-02,49,False
2013-06-09,31,False
2013-06-16,25,False
2013-06-23,33,False
2013-06-30,35,False
2013-07-07,46,False
2013-07-14,68,False
2013-07-21,39,False
2013-07-28,43,False
2013-08-04,35,False
2013-08-11,46,False
2013-08-18,47,False
2013-08-25,28,False
2013-09-01,73,False
2013-09-08,54,False
2013-09-15,69,False
2013-09-22,58,False
2013-09-29,86,False
2013-10-06,100,False
2013-10-13,65,False
2013-10-20,64,False
2013-10-27,56,False
2013-11-03,68,False
2013-11-10,61,False
2013-11-17,59,False
2013-11-24,37,False
2013-12-01,53,False
2013-12-08,49,False
2013-12-15,34,False
2013-12-22,31,False
2013-12-29,47,False
