geoName,despondent
Alabama,49
Alaska,56
Arizona,69
Arkansas,28
California,75
Colorado,64
Connecticut,42
Delaware,30
District of Columbia,92
Florida,81
Georgia,62
Hawaii,88
Idaho,18
Illinois,81
Indiana,100
Iowa,84
Kansas,97
Kentucky,46
Louisiana,55
Maine,89
Maryland,80
Massachusetts,72
Michigan,54
Minnesota,62
Mississippi,40
Missouri,79
Montana,61
Nebraska,49
Nevada,74
New Hampshire,95
New Jersey,66
New Mexico,48
New York,79
North Carolina,49
North Dakota,0
Ohio,55
Oklahoma,18
Oregon,50
Pennsylvania,79
Rhode Island,40
South Carolina,39
South Dakota,0
Tennessee,74
Texas,51
Utah,73
Vermont,34
Virginia,72
Washington,81
West Virginia,63
Wisconsin,79
Wyoming,0
