date,despondent,isPartial
2014-01-05,54,False
2014-01-12,49,False
2014-01-19,59,False
2014-01-26,49,False
2014-02-02,49,False
2014-02-09,44,False
2014-02-16,43,False
2014-02-23,52,False
2014-03-02,55,False
2014-03-09,38,False
2014-03-16,49,False
2014-03-23,53,False
2014-03-30,31,False
2014-04-06,67,False
2014-04-13,48,False
2014-04-20,63,False
2014-04-27,45,False
2014-05-04,47,False
2014-05-11,43,False
2014-05-18,42,False
2014-05-25,42,False
2014-06-01,35,False
2014-06-08,31,False
2014-06-15,43,False
2014-06-22,36,False
2014-06-29,40,False
2014-07-06,47,False
2014-07-13,35,False
2014-07-20,100,False
2014-07-27,47,False
2014-08-03,61,False
2014-08-10,68,False
2014-08-17,42,False
2014-08-24,54,False
2014-08-31,58,False
2014-09-07,72,False
2014-09-14,85,False
2014-09-21,83,False
2014-09-28,59,False
2014-10-05,77,False
2014-10-12,79,False
2014-10-19,90,False
2014-10-26,75,False
2014-11-02,71,False
2014-11-09,59,False
2014-11-16,76,False
2014-11-23,55,False
2014-11-30,54,False
2014-12-07,61,False
2014-12-14,64,False
2014-12-21,29,False
2014-12-28,50,False
