geoName,despondent
Alabama,46
Alaska,80
Arizona,53
Arkansas,12
California,48
Colorado,33
Connecticut,60
Delaware,26
District of Columbia,61
Florida,47
Georgia,35
Hawaii,14
Idaho,33
Illinois,44
Indiana,42
Iowa,30
Kansas,40
Kentucky,25
Louisiana,33
Maine,48
Maryland,58
Massachusetts,30
Michigan,17
Minnesota,36
Mississippi,13
Missouri,33
Montana,82
Nebraska,0
Nevada,42
New Hampshire,13
New Jersey,35
New Mexico,0
New York,49
North Carolina,48
North Dakota,100
Ohio,38
Oklahoma,15
Oregon,21
Pennsylvania,26
Rhode Island,17
South Carolina,53
South Dakota,0
Tennessee,12
Texas,40
Utah,52
Vermont,0
Virginia,39
Washington,51
West Virginia,72
Wisconsin,50
Wyoming,0
