date,despondent,isPartial
2015-01-04,47,False
2015-01-11,37,False
2015-01-18,62,False
2015-01-25,55,False
2015-02-01,45,False
2015-02-08,46,False
2015-02-15,39,False
2015-02-22,56,False
2015-03-01,55,False
2015-03-08,45,False
2015-03-15,39,False
2015-03-22,39,False
2015-03-29,41,False
2015-04-05,39,False
2015-04-12,49,False
2015-04-19,59,False
2015-04-26,45,False
2015-05-03,39,False
2015-05-10,47,False
2015-05-17,46,False
2015-05-24,30,False
2015-05-31,44,False
2015-06-07,31,False
2015-06-14,28,False
2015-06-21,34,False
2015-06-28,56,False
2015-07-05,34,False
2015-07-12,34,False
2015-07-19,34,False
2015-07-26,42,False
2015-08-02,42,False
2015-08-09,41,False
2015-08-16,42,False
2015-08-23,47,False
2015-08-30,55,False
2015-09-06,51,False
2015-09-13,63,False
2015-09-20,53,False
2015-09-27,68,False
2015-10-04,73,False
2015-10-11,100,False
2015-10-18,58,False
2015-10-25,56,False
2015-11-01,55,False
2015-11-08,56,False
2015-11-15,62,False
2015-11-22,41,False
2015-11-29,54,False
2015-12-06,54,False
2015-12-13,51,False
2015-12-20,40,False
2015-12-27,33,False
