date,despondent,isPartial
2011-01-02,55,False
2011-01-09,43,False
2011-01-16,61,False
2011-01-23,39,False
2011-01-30,82,False
2011-02-06,83,False
2011-02-13,68,False
2011-02-20,57,False
2011-02-27,52,False
2011-03-06,72,False
2011-03-13,37,False
2011-03-20,45,False
2011-03-27,45,False
2011-04-03,66,False
2011-04-10,62,False
2011-04-17,71,False
2011-04-24,56,False
2011-05-01,70,False
2011-05-08,56,False
2011-05-15,59,False
2011-05-22,64,False
2011-05-29,67,False
2011-06-05,46,False
2011-06-12,68,False
2011-06-19,56,False
2011-06-26,58,False
2011-07-03,41,False
2011-07-10,42,False
2011-07-17,52,False
2011-07-24,68,False
2011-07-31,44,False
2011-08-07,40,False
2011-08-14,34,False
2011-08-21,63,False
2011-08-28,70,False
2011-09-04,79,False
2011-09-11,67,False
2011-09-18,92,False
2011-09-25,95,False
2011-10-02,60,False
2011-10-09,78,False
2011-10-16,100,False
2011-10-23,74,False
2011-10-30,76,False
2011-11-06,55,False
2011-11-13,78,False
2011-11-20,68,False
2011-11-27,90,False
2011-12-04,52,False
2011-12-11,38,False
2011-12-18,47,False
2011-12-25,29,False
