geoName,problem
Alabama,93
Alaska,93
Arizona,84
Arkansas,91
California,89
Colorado,84
Connecticut,100
Delaware,89
District of Columbia,70
Florida,83
Georgia,79
Hawaii,83
Idaho,82
Illinois,79
Indiana,94
Iowa,86
Kansas,85
Kentucky,78
Louisiana,83
Maine,81
Maryland,97
Massachusetts,97
Michigan,86
Minnesota,82
Mississippi,93
Missouri,80
Montana,80
Nebraska,78
Nevada,77
New Hampshire,92
New Jersey,91
New Mexico,91
New York,80
North Carolina,87
North Dakota,86
Ohio,89
Oklahoma,72
Oregon,70
Pennsylvania,91
Rhode Island,94
South Carolina,80
South Dakota,80
Tennessee,82
Texas,79
Utah,78
Vermont,90
Virginia,85
Washington,83
West Virginia,86
Wisconsin,87
Wyoming,86
