geoName,problem
Alabama,99
Alaska,78
Arizona,83
Arkansas,90
California,92
Colorado,78
Connecticut,91
Delaware,100
District of Columbia,69
Florida,84
Georgia,79
Hawaii,93
Idaho,89
Illinois,79
Indiana,93
Iowa,90
Kansas,80
Kentucky,86
Louisiana,84
Maine,85
Maryland,96
Massachusetts,87
Michigan,88
Minnesota,81
Mississippi,83
Missouri,80
Montana,84
Nebraska,82
Nevada,79
New Hampshire,91
New Jersey,91
New Mexico,95
New York,84
North Carolina,86
North Dakota,77
Ohio,85
Oklahoma,82
Oregon,67
Pennsylvania,90
Rhode Island,95
South Carolina,87
South Dakota,84
Tennessee,77
Texas,81
Utah,80
Vermont,84
Virginia,90
Washington,85
West Virginia,86
Wisconsin,86
Wyoming,79
