date,problem,isPartial
2013-01-06,96,False
2013-01-13,100,False
2013-01-20,96,False
2013-01-27,96,False
2013-02-03,99,False
2013-02-10,92,False
2013-02-17,94,False
2013-02-24,94,False
2013-03-03,94,False
2013-03-10,87,False
2013-03-17,94,False
2013-03-24,86,False
2013-03-31,87,False
2013-04-07,93,False
2013-04-14,89,False
2013-04-21,92,False
2013-04-28,88,False
2013-05-05,86,False
2013-05-12,82,False
2013-05-19,80,False
2013-05-26,78,False
2013-06-02,78,False
2013-06-09,80,False
2013-06-16,75,False
2013-06-23,75,False
2013-06-30,71,False
2013-07-07,76,False
2013-07-14,75,False
2013-07-21,74,False
2013-07-28,71,False
2013-08-04,71,False
2013-08-11,72,False
2013-08-18,76,False
2013-08-25,80,False
2013-09-01,87,False
2013-09-08,94,False
2013-09-15,95,False
2013-09-22,96,False
2013-09-29,95,False
2013-10-06,94,False
2013-10-13,94,False
2013-10-20,96,False
2013-10-27,92,False
2013-11-03,93,False
2013-11-10,90,False
2013-11-17,96,False
2013-11-24,77,False
2013-12-01,91,False
2013-12-08,95,False
2013-12-15,79,False
2013-12-22,66,False
2013-12-29,65,False
