geoName,problem
Alabama,85
Alaska,73
Arizona,78
Arkansas,87
California,85
Colorado,74
Connecticut,86
Delaware,100
District of Columbia,60
Florida,81
Georgia,75
Hawaii,90
Idaho,82
Illinois,70
Indiana,92
Iowa,86
Kansas,85
Kentucky,84
Louisiana,79
Maine,78
Maryland,89
Massachusetts,81
Michigan,79
Minnesota,70
Mississippi,90
Missouri,71
Montana,77
Nebraska,72
Nevada,74
New Hampshire,90
New Jersey,90
New Mexico,89
New York,73
North Carolina,81
North Dakota,82
Ohio,80
Oklahoma,80
Oregon,86
Pennsylvania,89
Rhode Island,92
South Carolina,79
South Dakota,75
Tennessee,78
Texas,72
Utah,84
Vermont,91
Virginia,92
Washington,77
West Virginia,89
Wisconsin,82
Wyoming,82
