geoName,problem
Alabama,92
Alaska,86
Arizona,90
Arkansas,92
California,90
Colorado,79
Connecticut,99
Delaware,95
District of Columbia,70
Florida,87
Georgia,83
Hawaii,87
Idaho,85
Illinois,88
Indiana,96
Iowa,91
Kansas,80
Kentucky,81
Louisiana,88
Maine,86
Maryland,97
Massachusetts,93
Michigan,88
Minnesota,82
Mississippi,91
Missouri,84
Montana,84
Nebraska,82
Nevada,82
New Hampshire,95
New Jersey,99
New Mexico,93
New York,84
North Carolina,90
North Dakota,80
Ohio,90
Oklahoma,78
Oregon,61
Pennsylvania,93
Rhode Island,95
South Carolina,87
South Dakota,81
Tennessee,84
Texas,83
Utah,81
Vermont,100
Virginia,89
Washington,88
West Virginia,92
Wisconsin,89
Wyoming,78
