date,problem,isPartial
2014-01-05,58,False
2014-01-12,65,False
2014-01-19,62,False
2014-01-26,66,False
2014-02-02,67,False
2014-02-09,65,False
2014-02-16,66,False
2014-02-23,67,False
2014-03-02,67,False
2014-03-09,65,False
2014-03-16,65,False
2014-03-23,64,False
2014-03-30,65,False
2014-04-06,66,False
2014-04-13,64,False
2014-04-20,69,False
2014-04-27,100,False
2014-05-04,91,False
2014-05-11,86,False
2014-05-18,94,False
2014-05-25,89,False
2014-06-01,86,False
2014-06-08,79,False
2014-06-15,74,False
2014-06-22,71,False
2014-06-29,74,False
2014-07-06,69,False
2014-07-13,70,False
2014-07-20,68,False
2014-07-27,67,False
2014-08-03,69,False
2014-08-10,65,False
2014-08-17,69,False
2014-08-24,73,False
2014-08-31,75,False
2014-09-07,75,False
2014-09-14,78,False
2014-09-21,80,False
2014-09-28,78,False
2014-10-05,74,False
2014-10-12,72,False
2014-10-19,79,False
2014-10-26,77,False
2014-11-02,73,False
2014-11-09,73,False
2014-11-16,73,False
2014-11-23,58,False
2014-11-30,76,False
2014-12-07,73,False
2014-12-14,62,False
2014-12-21,51,False
2014-12-28,49,False
