date,tearful,isPartial
2014-01-05,36,False
2014-01-12,29,False
2014-01-19,36,False
2014-01-26,65,False
2014-02-02,53,False
2014-02-09,35,False
2014-02-16,43,False
2014-02-23,56,False
2014-03-02,56,False
2014-03-09,44,False
2014-03-16,15,False
2014-03-23,21,False
2014-03-30,29,False
2014-04-06,80,False
2014-04-13,22,False
2014-04-20,44,False
2014-04-27,37,False
2014-05-04,59,False
2014-05-11,45,False
2014-05-18,33,False
2014-05-25,88,False
2014-06-01,25,False
2014-06-08,26,False
2014-06-15,35,False
2014-06-22,53,False
2014-06-29,9,False
2014-07-06,61,False
2014-07-13,26,False
2014-07-20,52,False
2014-07-27,34,False
2014-08-03,18,False
2014-08-10,76,False
2014-08-17,25,False
2014-08-24,100,False
2014-08-31,83,False
2014-09-07,96,False
2014-09-14,48,False
2014-09-21,48,False
2014-09-28,32,False
2014-10-05,40,False
2014-10-12,16,False
2014-10-19,55,False
2014-10-26,32,False
2014-11-02,63,False
2014-11-09,47,False
2014-11-16,32,False
2014-11-23,42,False
2014-11-30,30,False
2014-12-07,62,False
2014-12-14,91,False
2014-12-21,0,False
2014-12-28,18,False
