date,tearful,isPartial
2015-01-04,45,False
2015-01-11,27,False
2015-01-18,11,False
2015-01-25,33,False
2015-02-01,16,False
2015-02-08,32,False
2015-02-15,16,False
2015-02-22,16,False
2015-03-01,16,False
2015-03-08,22,False
2015-03-15,33,False
2015-03-22,49,False
2015-03-29,17,False
2015-04-05,34,False
2015-04-12,28,False
2015-04-19,17,False
2015-04-26,11,False
2015-05-03,17,False
2015-05-10,23,False
2015-05-17,48,False
2015-05-24,31,False
2015-05-31,36,False
2015-06-07,18,False
2015-06-14,18,False
2015-06-21,18,False
2015-06-28,31,False
2015-07-05,24,False
2015-07-12,18,False
2015-07-19,24,False
2015-07-26,18,False
2015-08-02,24,False
2015-08-09,24,False
2015-08-16,47,False
2015-08-23,12,False
2015-08-30,11,False
2015-09-06,58,False
2015-09-13,100,False
2015-09-20,39,False
2015-09-27,49,False
2015-10-04,33,False
2015-10-11,17,False
2015-10-18,22,False
2015-10-25,22,False
2015-11-01,43,False
2015-11-08,11,False
2015-11-15,16,False
2015-11-22,41,False
2015-11-29,37,False
2015-12-06,26,False
2015-12-13,43,False
2015-12-20,32,False
2015-12-27,29,False
