date,tearful,isPartial
2013-01-06,81,False
2013-01-13,36,False
2013-01-20,18,False
2013-01-27,52,False
2013-02-03,71,False
2013-02-10,62,False
2013-02-17,54,False
2013-02-24,17,False
2013-03-03,26,False
2013-03-10,44,False
2013-03-17,35,False
2013-03-24,64,False
2013-03-31,45,False
2013-04-07,35,False
2013-04-14,44,False
2013-04-21,45,False
2013-04-28,45,False
2013-05-05,36,False
2013-05-12,65,False
2013-05-19,82,False
2013-05-26,0,False
2013-06-02,55,False
2013-06-09,19,False
2013-06-16,65,False
2013-06-23,66,False
2013-06-30,40,False
2013-07-07,73,False
2013-07-14,27,False
2013-07-21,36,False
2013-07-28,36,False
2013-08-04,55,False
2013-08-11,73,False
2013-08-18,100,False
2013-08-25,35,False
2013-09-01,27,False
2013-09-08,78,False
2013-09-15,61,False
2013-09-22,54,False
2013-09-29,43,False
2013-10-06,27,False
2013-10-13,36,False
2013-10-20,35,False
2013-10-27,35,False
2013-11-03,52,False
2013-11-10,52,False
2013-11-17,59,False
2013-11-24,28,False
2013-12-01,24,False
2013-12-08,68,False
2013-12-15,35,False
2013-12-22,31,False
2013-12-29,91,False
