date,tearful,isPartial
2012-01-01,5,False
2012-01-08,9,False
2012-01-15,18,False
2012-01-22,17,False
2012-01-29,43,False
2012-02-05,17,False
2012-02-12,17,False
2012-02-19,13,False
2012-02-26,22,False
2012-03-04,44,False
2012-03-11,18,False
2012-03-18,17,False
2012-03-25,17,False
2012-04-01,9,False
2012-04-08,14,False
2012-04-15,4,False
2012-04-22,4,False
2012-04-29,4,False
2012-05-06,9,False
2012-05-13,9,False
2012-05-20,22,False
2012-05-27,4,False
2012-06-03,4,False
2012-06-10,13,False
2012-06-17,9,False
2012-06-24,66,False
2012-07-01,9,False
2012-07-08,17,False
2012-07-15,4,False
2012-07-22,13,False
2012-07-29,47,False
2012-08-05,38,False
2012-08-12,25,False
2012-08-19,21,False
2012-08-26,30,False
2012-09-02,13,False
2012-09-09,12,False
2012-09-16,25,False
2012-09-23,16,False
2012-09-30,0,False
2012-10-07,32,False
2012-10-14,19,False
2012-10-21,16,False
2012-10-28,4,False
2012-11-04,100,False
2012-11-11,20,False
2012-11-18,25,False
2012-11-25,19,False
2012-12-02,19,False
2012-12-09,75,False
2012-12-16,27,False
2012-12-23,18,False
2012-12-30,20,False
