date,tearful,isPartial
2016-01-03,54,False
2016-01-10,34,False
2016-01-17,18,False
2016-01-24,22,False
2016-01-31,12,False
2016-02-07,7,False
2016-02-14,22,False
2016-02-21,31,False
2016-02-28,34,False
2016-03-06,22,False
2016-03-13,22,False
2016-03-20,23,False
2016-03-27,12,False
2016-04-03,17,False
2016-04-10,22,False
2016-04-17,10,False
2016-04-24,29,False
2016-05-01,27,False
2016-05-08,22,False
2016-05-15,5,False
2016-05-22,18,False
2016-05-29,16,False
2016-06-05,13,False
2016-06-12,18,False
2016-06-19,21,False
2016-06-26,0,False
2016-07-03,11,False
2016-07-10,27,False
2016-07-17,16,False
2016-07-24,26,False
2016-07-31,18,False
2016-08-07,16,False
2016-08-14,34,False
2016-08-21,16,False
2016-08-28,8,False
2016-09-04,10,False
2016-09-11,20,False
2016-09-18,12,False
2016-09-25,25,False
2016-10-02,17,False
2016-10-09,32,False
2016-10-16,10,False
2016-10-23,17,False
2016-10-30,15,False
2016-11-06,100,False
2016-11-13,19,False
2016-11-20,15,False
2016-11-27,23,False
2016-12-04,34,False
2016-12-11,21,False
2016-12-18,15,False
2016-12-25,23,False
