date,tearful,isPartial
2011-01-02,11,False
2011-01-09,5,False
2011-01-16,0,False
2011-01-23,10,False
2011-01-30,10,False
2011-02-06,15,False
2011-02-13,16,False
2011-02-20,31,False
2011-02-27,10,False
2011-03-06,10,False
2011-03-13,22,False
2011-03-20,0,False
2011-03-27,31,False
2011-04-03,15,False
2011-04-10,21,False
2011-04-17,21,False
2011-04-24,10,False
2011-05-01,15,False
2011-05-08,5,False
2011-05-15,21,False
2011-05-22,21,False
2011-05-29,16,False
2011-06-05,31,False
2011-06-12,37,False
2011-06-19,21,False
2011-06-26,0,False
2011-07-03,11,False
2011-07-10,20,False
2011-07-17,31,False
2011-07-24,20,False
2011-07-31,5,False
2011-08-07,10,False
2011-08-14,10,False
2011-08-21,24,False
2011-08-28,10,False
2011-09-04,19,False
2011-09-11,19,False
2011-09-18,14,False
2011-09-25,5,False
2011-10-02,33,False
2011-10-09,9,False
2011-10-16,27,False
2011-10-23,100,False
2011-10-30,9,False
2011-11-06,9,False
2011-11-13,4,False
2011-11-20,10,False
2011-11-27,17,False
2011-12-04,13,False
2011-12-11,30,False
2011-12-18,14,False
2011-12-25,14,False
