geoName,worry
Alabama,97
Alaska,78
Arizona,73
Arkansas,91
California,65
Colorado,68
Connecticut,71
Delaware,84
District of Columbia,78
Florida,76
Georgia,77
Hawaii,77
Idaho,75
Illinois,73
Indiana,84
Iowa,83
Kansas,81
Kentucky,93
Louisiana,77
Maine,69
Maryland,64
Massachusetts,71
Michigan,79
Minnesota,78
Mississippi,100
Missouri,83
Montana,64
Nebraska,72
Nevada,62
New Hampshire,61
New Jersey,92
New Mexico,76
New York,71
North Carolina,82
North Dakota,73
Ohio,79
Oklahoma,95
Oregon,46
Pennsylvania,75
Rhode Island,84
South Carolina,76
South Dakota,99
Tennessee,88
Texas,77
Utah,68
Vermont,57
Virginia,65
Washington,67
West Virginia,86
Wisconsin,72
Wyoming,66
