date,worry,isPartial
2011-01-02,92,False
2011-01-09,82,False
2011-01-16,91,False
2011-01-23,96,False
2011-01-30,86,False
2011-02-06,94,False
2011-02-13,82,False
2011-02-20,100,False
2011-02-27,88,False
2011-03-06,95,False
2011-03-13,90,False
2011-03-20,91,False
2011-03-27,93,False
2011-04-03,90,False
2011-04-10,82,False
2011-04-17,90,False
2011-04-24,87,False
2011-05-01,83,False
2011-05-08,94,False
2011-05-15,86,False
2011-05-22,86,False
2011-05-29,89,False
2011-06-05,86,False
2011-06-12,82,False
2011-06-19,90,False
2011-06-26,82,False
2011-07-03,78,False
2011-07-10,79,False
2011-07-17,86,False
2011-07-24,93,False
2011-07-31,78,False
2011-08-07,89,False
2011-08-14,87,False
2011-08-21,86,False
2011-08-28,86,False
2011-09-04,90,False
2011-09-11,86,False
2011-09-18,81,False
2011-09-25,82,False
2011-10-02,85,False
2011-10-09,81,False
2011-10-16,80,False
2011-10-23,90,False
2011-10-30,85,False
2011-11-06,91,False
2011-11-13,81,False
2011-11-20,81,False
2011-11-27,92,False
2011-12-04,83,False
2011-12-11,80,False
2011-12-18,74,False
2011-12-25,78,False
