date,worry,isPartial
2013-01-06,84,False
2013-01-13,86,False
2013-01-20,92,False
2013-01-27,90,False
2013-02-03,87,False
2013-02-10,87,False
2013-02-17,85,False
2013-02-24,84,False
2013-03-03,87,False
2013-03-10,78,False
2013-03-17,79,False
2013-03-24,79,False
2013-03-31,72,False
2013-04-07,75,False
2013-04-14,83,False
2013-04-21,100,False
2013-04-28,86,False
2013-05-05,79,False
2013-05-12,79,False
2013-05-19,80,False
2013-05-26,76,False
2013-06-02,69,False
2013-06-09,74,False
2013-06-16,72,False
2013-06-23,74,False
2013-06-30,69,False
2013-07-07,71,False
2013-07-14,74,False
2013-07-21,73,False
2013-07-28,79,False
2013-08-04,83,False
2013-08-11,76,False
2013-08-18,73,False
2013-08-25,65,False
2013-09-01,77,False
2013-09-08,72,False
2013-09-15,76,False
2013-09-22,68,False
2013-09-29,67,False
2013-10-06,70,False
2013-10-13,66,False
2013-10-20,72,False
2013-10-27,67,False
2013-11-03,71,False
2013-11-10,69,False
2013-11-17,63,False
2013-11-24,59,False
2013-12-01,64,False
2013-12-08,61,False
2013-12-15,62,False
2013-12-22,59,False
2013-12-29,64,False
