geoName,worry
Alabama,89
Alaska,76
Arizona,62
Arkansas,78
California,70
Colorado,76
Connecticut,58
Delaware,65
District of Columbia,80
Florida,72
Georgia,83
Hawaii,58
Idaho,63
Illinois,69
Indiana,89
Iowa,77
Kansas,70
Kentucky,94
Louisiana,87
Maine,72
Maryland,71
Massachusetts,65
Michigan,79
Minnesota,73
Mississippi,91
Missouri,77
Montana,83
Nebraska,76
Nevada,66
New Hampshire,67
New Jersey,89
New Mexico,65
New York,71
North Carolina,77
North Dakota,60
Ohio,79
Oklahoma,80
Oregon,50
Pennsylvania,79
Rhode Island,83
South Carolina,86
South Dakota,94
Tennessee,94
Texas,73
Utah,82
Vermont,89
Virginia,55
Washington,65
West Virginia,100
Wisconsin,73
Wyoming,66
