date,worry,isPartial
2016-01-03,87,False
2016-01-10,89,False
2016-01-17,90,False
2016-01-24,96,False
2016-01-31,97,False
2016-02-07,94,False
2016-02-14,91,False
2016-02-21,94,False
2016-02-28,86,False
2016-03-06,86,False
2016-03-13,87,False
2016-03-20,94,False
2016-03-27,88,False
2016-04-03,95,False
2016-04-10,99,False
2016-04-17,94,False
2016-04-24,96,False
2016-05-01,98,False
2016-05-08,90,False
2016-05-15,92,False
2016-05-22,100,False
2016-05-29,87,False
2016-06-05,87,False
2016-06-12,81,False
2016-06-19,89,False
2016-06-26,92,False
2016-07-03,83,False
2016-07-10,84,False
2016-07-17,85,False
2016-07-24,96,False
2016-07-31,89,False
2016-08-07,82,False
2016-08-14,86,False
2016-08-21,86,False
2016-08-28,88,False
2016-09-04,96,False
2016-09-11,92,False
2016-09-18,86,False
2016-09-25,90,False
2016-10-02,85,False
2016-10-09,87,False
2016-10-16,89,False
2016-10-23,82,False
2016-10-30,88,False
2016-11-06,89,False
2016-11-13,90,False
2016-11-20,84,False
2016-11-27,89,False
2016-12-04,81,False
2016-12-11,83,False
2016-12-18,87,False
2016-12-25,87,False
