geoName,worry
Alabama,90
Alaska,77
Arizona,69
Arkansas,86
California,65
Colorado,78
Connecticut,69
Delaware,95
District of Columbia,61
Florida,74
Georgia,77
Hawaii,93
Idaho,75
Illinois,66
Indiana,77
Iowa,73
Kansas,82
Kentucky,82
Louisiana,68
Maine,85
Maryland,66
Massachusetts,75
Michigan,77
Minnesota,78
Mississippi,86
Missouri,76
Montana,56
Nebraska,67
Nevada,58
New Hampshire,81
New Jersey,89
New Mexico,65
New York,75
North Carolina,84
North Dakota,99
Ohio,71
Oklahoma,85
Oregon,68
Pennsylvania,82
Rhode Island,63
South Carolina,84
South Dakota,100
Tennessee,87
Texas,70
Utah,68
Vermont,97
Virginia,78
Washington,58
West Virginia,95
Wisconsin,70
Wyoming,88
