date,worry,isPartial
2014-01-05,92,False
2014-01-12,89,False
2014-01-19,91,False
2014-01-26,87,False
2014-02-02,89,False
2014-02-09,78,False
2014-02-16,85,False
2014-02-23,86,False
2014-03-02,85,False
2014-03-09,82,False
2014-03-16,89,False
2014-03-23,97,False
2014-03-30,91,False
2014-04-06,82,False
2014-04-13,88,False
2014-04-20,85,False
2014-04-27,94,False
2014-05-04,87,False
2014-05-11,83,False
2014-05-18,80,False
2014-05-25,80,False
2014-06-01,82,False
2014-06-08,78,False
2014-06-15,86,False
2014-06-22,79,False
2014-06-29,84,False
2014-07-06,89,False
2014-07-13,81,False
2014-07-20,82,False
2014-07-27,86,False
2014-08-03,84,False
2014-08-10,89,False
2014-08-17,81,False
2014-08-24,80,False
2014-08-31,86,False
2014-09-07,86,False
2014-09-14,86,False
2014-09-21,84,False
2014-09-28,92,False
2014-10-05,95,False
2014-10-12,100,False
2014-10-19,87,False
2014-10-26,83,False
2014-11-02,79,False
2014-11-09,86,False
2014-11-16,91,False
2014-11-23,77,False
2014-11-30,97,False
2014-12-07,93,False
2014-12-14,90,False
2014-12-21,76,False
2014-12-28,84,False
