geoName,worry
Alabama,89
Alaska,86
Arizona,72
Arkansas,83
California,72
Colorado,73
Connecticut,73
Delaware,56
District of Columbia,69
Florida,73
Georgia,77
Hawaii,74
Idaho,70
Illinois,77
Indiana,81
Iowa,74
Kansas,70
Kentucky,97
Louisiana,76
Maine,86
Maryland,67
Massachusetts,73
Michigan,81
Minnesota,77
Mississippi,100
Missouri,76
Montana,65
Nebraska,77
Nevada,75
New Hampshire,76
New Jersey,90
New Mexico,72
New York,71
North Carolina,81
North Dakota,72
Ohio,81
Oklahoma,83
Oregon,69
Pennsylvania,80
Rhode Island,66
South Carolina,75
South Dakota,90
Tennessee,87
Texas,74
Utah,81
Vermont,79
Virginia,78
Washington,70
West Virginia,86
Wisconsin,76
Wyoming,64
