date,worry,isPartial
2015-01-04,88,False
2015-01-11,78,False
2015-01-18,84,False
2015-01-25,73,False
2015-02-01,79,False
2015-02-08,90,False
2015-02-15,77,False
2015-02-22,86,False
2015-03-01,84,False
2015-03-08,86,False
2015-03-15,76,False
2015-03-22,81,False
2015-03-29,75,False
2015-04-05,73,False
2015-04-12,85,False
2015-04-19,83,False
2015-04-26,83,False
2015-05-03,75,False
2015-05-10,77,False
2015-05-17,75,False
2015-05-24,80,False
2015-05-31,87,False
2015-06-07,81,False
2015-06-14,81,False
2015-06-21,76,False
2015-06-28,86,False
2015-07-05,79,False
2015-07-12,83,False
2015-07-19,100,False
2015-07-26,88,False
2015-08-02,86,False
2015-08-09,83,False
2015-08-16,94,False
2015-08-23,89,False
2015-08-30,83,False
2015-09-06,82,False
2015-09-13,81,False
2015-09-20,74,False
2015-09-27,88,False
2015-10-04,81,False
2015-10-11,83,False
2015-10-18,82,False
2015-10-25,82,False
2015-11-01,84,False
2015-11-08,79,False
2015-11-15,83,False
2015-11-22,69,False
2015-11-29,80,False
2015-12-06,79,False
2015-12-13,82,False
2015-12-20,75,False
2015-12-27,86,False
