geoName,worry
Alabama,96
Alaska,87
Arizona,76
Arkansas,89
California,73
Colorado,75
Connecticut,68
Delaware,77
District of Columbia,82
Florida,82
Georgia,88
Hawaii,77
Idaho,64
Illinois,80
Indiana,76
Iowa,77
Kansas,88
Kentucky,89
Louisiana,88
Maine,85
Maryland,80
Massachusetts,73
Michigan,75
Minnesota,86
Mississippi,100
Missouri,84
Montana,77
Nebraska,77
Nevada,68
New Hampshire,65
New Jersey,97
New Mexico,79
New York,83
North Carolina,82
North Dakota,63
Ohio,79
Oklahoma,81
Oregon,70
Pennsylvania,81
Rhode Island,71
South Carolina,82
South Dakota,78
Tennessee,88
Texas,80
Utah,75
Vermont,67
Virginia,80
Washington,73
West Virginia,100
Wisconsin,82
Wyoming,68
