geoName,negative
Alabama,89
Alaska,88
Arizona,92
Arkansas,91
California,88
Colorado,86
Connecticut,94
Delaware,87
District of Columbia,73
Florida,84
Georgia,87
Hawaii,93
Idaho,87
Illinois,83
Indiana,97
Iowa,92
Kansas,81
Kentucky,85
Louisiana,94
Maine,100
Maryland,91
Massachusetts,92
Michigan,86
Minnesota,86
Mississippi,97
Missouri,90
Montana,87
Nebraska,80
Nevada,79
New Hampshire,89
New Jersey,89
New Mexico,90
New York,86
North Carolina,91
North Dakota,89
Ohio,89
Oklahoma,90
Oregon,77
Pennsylvania,91
Rhode Island,100
South Carolina,89
South Dakota,97
Tennessee,81
Texas,82
Utah,82
Vermont,93
Virginia,91
Washington,82
West Virginia,95
Wisconsin,89
Wyoming,80
