geoName,negative
Alabama,84
Alaska,80
Arizona,88
Arkansas,92
California,82
Colorado,82
Connecticut,85
Delaware,97
District of Columbia,73
Florida,83
Georgia,83
Hawaii,96
Idaho,93
Illinois,77
Indiana,100
Iowa,87
Kansas,85
Kentucky,89
Louisiana,83
Maine,87
Maryland,93
Massachusetts,85
Michigan,86
Minnesota,79
Mississippi,93
Missouri,79
Montana,88
Nebraska,81
Nevada,84
New Hampshire,88
New Jersey,86
New Mexico,96
New York,78
North Carolina,92
North Dakota,93
Ohio,89
Oklahoma,85
Oregon,86
Pennsylvania,89
Rhode Island,100
South Carolina,84
South Dakota,96
Tennessee,87
Texas,84
Utah,89
Vermont,90
Virginia,89
Washington,78
West Virginia,94
Wisconsin,88
Wyoming,84
