date,negative,isPartial
2016-01-03,68,False
2016-01-10,71,False
2016-01-17,74,False
2016-01-24,86,False
2016-01-31,98,False
2016-02-07,95,False
2016-02-14,84,False
2016-02-21,89,False
2016-02-28,87,False
2016-03-06,81,False
2016-03-13,78,False
2016-03-20,73,False
2016-03-27,77,False
2016-04-03,82,False
2016-04-10,86,False
2016-04-17,81,False
2016-04-24,81,False
2016-05-01,77,False
2016-05-08,75,False
2016-05-15,67,False
2016-05-22,65,False
2016-05-29,58,False
2016-06-05,58,False
2016-06-12,58,False
2016-06-19,55,False
2016-06-26,53,False
2016-07-03,50,False
2016-07-10,52,False
2016-07-17,54,False
2016-07-24,54,False
2016-07-31,51,False
2016-08-07,50,False
2016-08-14,54,False
2016-08-21,71,False
2016-08-28,82,False
2016-09-04,85,False
2016-09-11,96,False
2016-09-18,100,False
2016-09-25,93,False
2016-10-02,91,False
2016-10-09,88,False
2016-10-16,89,False
2016-10-23,88,False
2016-10-30,86,False
2016-11-06,76,False
2016-11-13,85,False
2016-11-20,57,False
2016-11-27,86,False
2016-12-04,90,False
2016-12-11,77,False
2016-12-18,54,False
2016-12-25,39,False
