date,negative,isPartial
2015-01-04,64,False
2015-01-11,71,False
2015-01-18,76,False
2015-01-25,81,False
2015-02-01,79,False
2015-02-08,82,False
2015-02-15,78,False
2015-02-22,85,False
2015-03-01,81,False
2015-03-08,79,False
2015-03-15,74,False
2015-03-22,74,False
2015-03-29,74,False
2015-04-05,74,False
2015-04-12,78,False
2015-04-19,81,False
2015-04-26,80,False
2015-05-03,76,False
2015-05-10,71,False
2015-05-17,65,False
2015-05-24,62,False
2015-05-31,62,False
2015-06-07,58,False
2015-06-14,56,False
2015-06-21,56,False
2015-06-28,50,False
2015-07-05,55,False
2015-07-12,57,False
2015-07-19,53,False
2015-07-26,54,False
2015-08-02,52,False
2015-08-09,55,False
2015-08-16,64,False
2015-08-23,77,False
2015-08-30,91,False
2015-09-06,92,False
2015-09-13,100,False
2015-09-20,98,False
2015-09-27,99,False
2015-10-04,96,False
2015-10-11,92,False
2015-10-18,94,False
2015-10-25,95,False
2015-11-01,91,False
2015-11-08,86,False
2015-11-15,86,False
2015-11-22,61,False
2015-11-29,86,False
2015-12-06,90,False
2015-12-13,77,False
2015-12-20,45,False
2015-12-27,44,False
