geoName,negative
Alabama,84
Alaska,89
Arizona,84
Arkansas,89
California,79
Colorado,80
Connecticut,83
Delaware,92
District of Columbia,71
Florida,79
Georgia,80
Hawaii,86
Idaho,94
Illinois,79
Indiana,92
Iowa,90
Kansas,79
Kentucky,88
Louisiana,83
Maine,89
Maryland,91
Massachusetts,81
Michigan,82
Minnesota,80
Mississippi,81
Missouri,78
Montana,77
Nebraska,86
Nevada,76
New Hampshire,86
New Jersey,84
New Mexico,92
New York,83
North Carolina,88
North Dakota,80
Ohio,86
Oklahoma,82
Oregon,53
Pennsylvania,89
Rhode Island,88
South Carolina,87
South Dakota,100
Tennessee,81
Texas,80
Utah,84
Vermont,93
Virginia,83
Washington,77
West Virginia,93
Wisconsin,84
Wyoming,92
