geoName,negative
Alabama,88
Alaska,77
Arizona,82
Arkansas,82
California,76
Colorado,76
Connecticut,80
Delaware,100
District of Columbia,70
Florida,77
Georgia,82
Hawaii,91
Idaho,92
Illinois,76
Indiana,90
Iowa,81
Kansas,83
Kentucky,85
Louisiana,90
Maine,79
Maryland,89
Massachusetts,81
Michigan,84
Minnesota,77
Mississippi,83
Missouri,82
Montana,84
Nebraska,87
Nevada,75
New Hampshire,79
New Jersey,81
New Mexico,93
New York,80
North Carolina,88
North Dakota,88
Ohio,84
Oklahoma,79
Oregon,76
Pennsylvania,89
Rhode Island,93
South Carolina,82
South Dakota,88
Tennessee,85
Texas,77
Utah,82
Vermont,77
Virginia,85
Washington,80
West Virginia,97
Wisconsin,83
Wyoming,65
