geoName,negative
Alabama,85
Alaska,72
Arizona,80
Arkansas,92
California,80
Colorado,81
Connecticut,93
Delaware,89
District of Columbia,66
Florida,81
Georgia,75
Hawaii,79
Idaho,92
Illinois,76
Indiana,100
Iowa,91
Kansas,72
Kentucky,76
Louisiana,87
Maine,82
Maryland,89
Massachusetts,90
Michigan,81
Minnesota,75
Mississippi,91
Missouri,86
Montana,76
Nebraska,75
Nevada,77
New Hampshire,81
New Jersey,83
New Mexico,81
New York,80
North Carolina,85
North Dakota,85
Ohio,88
Oklahoma,73
Oregon,62
Pennsylvania,84
Rhode Island,94
South Carolina,79
South Dakota,94
Tennessee,77
Texas,78
Utah,88
Vermont,80
Virginia,59
Washington,76
West Virginia,92
Wisconsin,81
Wyoming,79
