geoName,negative
Alabama,95
Alaska,73
Arizona,91
Arkansas,98
California,86
Colorado,80
Connecticut,95
Delaware,94
District of Columbia,72
Florida,84
Georgia,80
Hawaii,82
Idaho,100
Illinois,83
Indiana,95
Iowa,91
Kansas,78
Kentucky,80
Louisiana,85
Maine,95
Maryland,95
Massachusetts,87
Michigan,90
Minnesota,81
Mississippi,91
Missouri,84
Montana,80
Nebraska,87
Nevada,81
New Hampshire,88
New Jersey,86
New Mexico,92
New York,83
North Carolina,90
North Dakota,78
Ohio,94
Oklahoma,85
Oregon,54
Pennsylvania,88
Rhode Island,89
South Carolina,88
South Dakota,92
Tennessee,82
Texas,83
Utah,90
Vermont,91
Virginia,73
Washington,84
West Virginia,88
Wisconsin,85
Wyoming,85
