date,feelings,isPartial
2014-01-05,77,False
2014-01-12,84,False
2014-01-19,85,False
2014-01-26,90,False
2014-02-02,86,False
2014-02-09,90,False
2014-02-16,89,False
2014-02-23,86,False
2014-03-02,89,False
2014-03-09,91,False
2014-03-16,86,False
2014-03-23,95,False
2014-03-30,94,False
2014-04-06,85,False
2014-04-13,84,False
2014-04-20,87,False
2014-04-27,97,False
2014-05-04,91,False
2014-05-11,89,False
2014-05-18,77,False
2014-05-25,78,False
2014-06-01,77,False
2014-06-08,82,False
2014-06-15,80,False
2014-06-22,78,False
2014-06-29,71,False
2014-07-06,77,False
2014-07-13,70,False
2014-07-20,82,False
2014-07-27,72,False
2014-08-03,71,False
2014-08-10,66,False
2014-08-17,72,False
2014-08-24,79,False
2014-08-31,85,False
2014-09-07,83,False
2014-09-14,97,False
2014-09-21,93,False
2014-09-28,97,False
2014-10-05,100,False
2014-10-12,93,False
2014-10-19,96,False
2014-10-26,99,False
2014-11-02,99,False
2014-11-09,91,False
2014-11-16,98,False
2014-11-23,82,False
2014-11-30,93,False
2014-12-07,92,False
2014-12-14,95,False
2014-12-21,77,False
2014-12-28,76,False
