geoName,feelings
Alabama,72
Alaska,64
Arizona,63
Arkansas,79
California,65
Colorado,57
Connecticut,72
Delaware,56
District of Columbia,62
Florida,65
Georgia,74
Hawaii,62
Idaho,54
Illinois,62
Indiana,65
Iowa,58
Kansas,58
Kentucky,68
Louisiana,84
Maine,51
Maryland,65
Massachusetts,62
Michigan,64
Minnesota,56
Mississippi,100
Missouri,61
Montana,52
Nebraska,61
Nevada,70
New Hampshire,54
New Jersey,72
New Mexico,74
New York,89
North Carolina,75
North Dakota,45
Ohio,60
Oklahoma,65
Oregon,43
Pennsylvania,62
Rhode Island,71
South Carolina,72
South Dakota,67
Tennessee,72
Texas,72
Utah,61
Vermont,73
Virginia,59
Washington,56
West Virginia,65
Wisconsin,60
Wyoming,46
