geoName,feelings
Alabama,76
Alaska,63
Arizona,71
Arkansas,79
California,78
Colorado,69
Connecticut,77
Delaware,88
District of Columbia,66
Florida,80
Georgia,79
Hawaii,86
Idaho,60
Illinois,67
Indiana,71
Iowa,72
Kansas,80
Kentucky,81
Louisiana,96
Maine,70
Maryland,84
Massachusetts,74
Michigan,73
Minnesota,66
Mississippi,100
Missouri,70
Montana,75
Nebraska,64
Nevada,79
New Hampshire,74
New Jersey,85
New Mexico,60
New York,87
North Carolina,76
North Dakota,53
Ohio,67
Oklahoma,72
Oregon,48
Pennsylvania,76
Rhode Island,91
South Carolina,84
South Dakota,71
Tennessee,70
Texas,82
Utah,70
Vermont,68
Virginia,80
Washington,64
West Virginia,73
Wisconsin,68
Wyoming,73
