geoName,feelings
Alabama,64
Alaska,71
Arizona,64
Arkansas,63
California,68
Colorado,56
Connecticut,81
Delaware,71
District of Columbia,54
Florida,79
Georgia,72
Hawaii,74
Idaho,57
Illinois,63
Indiana,64
Iowa,62
Kansas,61
Kentucky,68
Louisiana,100
Maine,68
Maryland,75
Massachusetts,64
Michigan,72
Minnesota,63
Mississippi,65
Missouri,63
Montana,37
Nebraska,59
Nevada,76
New Hampshire,56
New Jersey,80
New Mexico,71
New York,79
North Carolina,73
North Dakota,46
Ohio,69
Oklahoma,58
Oregon,61
Pennsylvania,73
Rhode Island,80
South Carolina,71
South Dakota,78
Tennessee,70
Texas,69
Utah,64
Vermont,74
Virginia,74
Washington,56
West Virginia,87
Wisconsin,63
Wyoming,60
