date,feelings,isPartial
2013-01-06,89,False
2013-01-13,86,False
2013-01-20,89,False
2013-01-27,80,False
2013-02-03,89,False
2013-02-10,91,False
2013-02-17,88,False
2013-02-24,87,False
2013-03-03,90,False
2013-03-10,82,False
2013-03-17,88,False
2013-03-24,79,False
2013-03-31,88,False
2013-04-07,98,False
2013-04-14,100,False
2013-04-21,98,False
2013-04-28,95,False
2013-05-05,85,False
2013-05-12,91,False
2013-05-19,88,False
2013-05-26,84,False
2013-06-02,82,False
2013-06-09,80,False
2013-06-16,77,False
2013-06-23,80,False
2013-06-30,73,False
2013-07-07,74,False
2013-07-14,77,False
2013-07-21,79,False
2013-07-28,78,False
2013-08-04,80,False
2013-08-11,78,False
2013-08-18,84,False
2013-08-25,80,False
2013-09-01,81,False
2013-09-08,92,False
2013-09-15,88,False
2013-09-22,96,False
2013-09-29,92,False
2013-10-06,95,False
2013-10-13,88,False
2013-10-20,97,False
2013-10-27,92,False
2013-11-03,99,False
2013-11-10,95,False
2013-11-17,92,False
2013-11-24,80,False
2013-12-01,95,False
2013-12-08,98,False
2013-12-15,86,False
2013-12-22,75,False
2013-12-29,79,False
