geoName,feelings
Alabama,75
Alaska,73
Arizona,79
Arkansas,85
California,80
Colorado,62
Connecticut,87
Delaware,73
District of Columbia,77
Florida,86
Georgia,80
Hawaii,100
Idaho,88
Illinois,75
Indiana,82
Iowa,73
Kansas,82
Kentucky,81
Louisiana,91
Maine,78
Maryland,84
Massachusetts,73
Michigan,81
Minnesota,63
Mississippi,95
Missouri,71
Montana,54
Nebraska,64
Nevada,80
New Hampshire,85
New Jersey,92
New Mexico,74
New York,88
North Carolina,85
North Dakota,67
Ohio,75
Oklahoma,68
Oregon,68
Pennsylvania,85
Rhode Island,73
South Carolina,77
South Dakota,75
Tennessee,78
Texas,79
Utah,75
Vermont,90
Virginia,83
Washington,65
West Virginia,68
Wisconsin,77
Wyoming,62
