date,feelings,isPartial
2011-01-02,73,False
2011-01-09,77,False
2011-01-16,75,False
2011-01-23,82,False
2011-01-30,80,False
2011-02-06,80,False
2011-02-13,72,False
2011-02-20,78,False
2011-02-27,78,False
2011-03-06,74,False
2011-03-13,71,False
2011-03-20,85,False
2011-03-27,87,False
2011-04-03,78,False
2011-04-10,84,False
2011-04-17,81,False
2011-04-24,80,False
2011-05-01,87,False
2011-05-08,81,False
2011-05-15,74,False
2011-05-22,80,False
2011-05-29,73,False
2011-06-05,78,False
2011-06-12,68,False
2011-06-19,74,False
2011-06-26,75,False
2011-07-03,74,False
2011-07-10,72,False
2011-07-17,78,False
2011-07-24,68,False
2011-07-31,73,False
2011-08-07,64,False
2011-08-14,70,False
2011-08-21,72,False
2011-08-28,80,False
2011-09-04,88,False
2011-09-11,96,False
2011-09-18,84,False
2011-09-25,86,False
2011-10-02,84,False
2011-10-09,89,False
2011-10-16,88,False
2011-10-23,89,False
2011-10-30,99,False
2011-11-06,85,False
2011-11-13,100,False
2011-11-20,79,False
2011-11-27,91,False
2011-12-04,88,False
2011-12-11,83,False
2011-12-18,74,False
2011-12-25,69,False
