date,feelings,isPartial
2012-01-01,73,False
2012-01-08,82,False
2012-01-15,80,False
2012-01-22,86,False
2012-01-29,87,False
2012-02-05,88,False
2012-02-12,88,False
2012-02-19,87,False
2012-02-26,83,False
2012-03-04,78,False
2012-03-11,78,False
2012-03-18,83,False
2012-03-25,81,False
2012-04-01,88,False
2012-04-08,83,False
2012-04-15,90,False
2012-04-22,93,False
2012-04-29,91,False
2012-05-06,83,False
2012-05-13,81,False
2012-05-20,80,False
2012-05-27,88,False
2012-06-03,82,False
2012-06-10,77,False
2012-06-17,87,False
2012-06-24,71,False
2012-07-01,82,False
2012-07-08,81,False
2012-07-15,82,False
2012-07-22,78,False
2012-07-29,76,False
2012-08-05,70,False
2012-08-12,79,False
2012-08-19,81,False
2012-08-26,86,False
2012-09-02,80,False
2012-09-09,92,False
2012-09-16,93,False
2012-09-23,89,False
2012-09-30,100,False
2012-10-07,84,False
2012-10-14,83,False
2012-10-21,95,False
2012-10-28,88,False
2012-11-04,87,False
2012-11-11,96,False
2012-11-18,75,False
2012-11-25,95,False
2012-12-02,92,False
2012-12-09,90,False
2012-12-16,78,False
2012-12-23,72,False
2012-12-30,77,False
