geoName,feelings
Alabama,83
Alaska,49
Arizona,66
Arkansas,81
California,72
Colorado,64
Connecticut,69
Delaware,77
District of Columbia,65
Florida,78
Georgia,85
Hawaii,67
Idaho,69
Illinois,70
Indiana,74
Iowa,58
Kansas,67
Kentucky,73
Louisiana,98
Maine,73
Maryland,72
Massachusetts,64
Michigan,69
Minnesota,70
Mississippi,100
Missouri,68
Montana,58
Nebraska,71
Nevada,69
New Hampshire,55
New Jersey,79
New Mexico,72
New York,84
North Carolina,82
North Dakota,58
Ohio,68
Oklahoma,69
Oregon,43
Pennsylvania,73
Rhode Island,69
South Carolina,82
South Dakota,53
Tennessee,70
Texas,79
Utah,63
Vermont,60
Virginia,66
Washington,65
West Virginia,68
Wisconsin,61
Wyoming,53
