date,feelings,isPartial
2015-01-04,55,False
2015-01-11,58,False
2015-01-18,56,False
2015-01-25,53,False
2015-02-01,54,False
2015-02-08,55,False
2015-02-15,55,False
2015-02-22,60,False
2015-03-01,57,False
2015-03-08,54,False
2015-03-15,57,False
2015-03-22,57,False
2015-03-29,50,False
2015-04-05,53,False
2015-04-12,57,False
2015-04-19,58,False
2015-04-26,58,False
2015-05-03,63,False
2015-05-10,50,False
2015-05-17,55,False
2015-05-24,52,False
2015-05-31,55,False
2015-06-07,47,False
2015-06-14,48,False
2015-06-21,58,False
2015-06-28,52,False
2015-07-05,46,False
2015-07-12,51,False
2015-07-19,48,False
2015-07-26,60,False
2015-08-02,50,False
2015-08-09,50,False
2015-08-16,50,False
2015-08-23,56,False
2015-08-30,55,False
2015-09-06,57,False
2015-09-13,60,False
2015-09-20,61,False
2015-09-27,65,False
2015-10-04,68,False
2015-10-11,64,False
2015-10-18,68,False
2015-10-25,65,False
2015-11-01,72,False
2015-11-08,73,False
2015-11-15,66,False
2015-11-22,70,False
2015-11-29,91,False
2015-12-06,100,False
2015-12-13,80,False
2015-12-20,50,False
2015-12-27,63,False
