date,feelings,isPartial
2016-01-03,94,False
2016-01-10,88,False
2016-01-17,84,False
2016-01-24,95,False
2016-01-31,100,False
2016-02-07,97,False
2016-02-14,93,False
2016-02-21,90,False
2016-02-28,88,False
2016-03-06,90,False
2016-03-13,84,False
2016-03-20,88,False
2016-03-27,82,False
2016-04-03,88,False
2016-04-10,92,False
2016-04-17,89,False
2016-04-24,89,False
2016-05-01,83,False
2016-05-08,83,False
2016-05-15,86,False
2016-05-22,81,False
2016-05-29,79,False
2016-06-05,68,False
2016-06-12,72,False
2016-06-19,73,False
2016-06-26,74,False
2016-07-03,76,False
2016-07-10,75,False
2016-07-17,73,False
2016-07-24,75,False
2016-07-31,70,False
2016-08-07,64,False
2016-08-14,68,False
2016-08-21,74,False
2016-08-28,77,False
2016-09-04,79,False
2016-09-11,89,False
2016-09-18,81,False
2016-09-25,83,False
2016-10-02,85,False
2016-10-09,89,False
2016-10-16,87,False
2016-10-23,89,False
2016-10-30,86,False
2016-11-06,82,False
2016-11-13,93,False
2016-11-20,72,False
2016-11-27,93,False
2016-12-04,87,False
2016-12-11,85,False
2016-12-18,69,False
2016-12-25,64,False
