date,oncoming,isPartial
2014-01-05,48,False
2014-01-12,74,False
2014-01-19,65,False
2014-01-26,59,False
2014-02-02,71,False
2014-02-09,85,False
2014-02-16,44,False
2014-02-23,78,False
2014-03-02,60,False
2014-03-09,80,False
2014-03-16,59,False
2014-03-23,71,False
2014-03-30,53,False
2014-04-06,57,False
2014-04-13,63,False
2014-04-20,69,False
2014-04-27,60,False
2014-05-04,54,False
2014-05-11,74,False
2014-05-18,54,False
2014-05-25,43,False
2014-06-01,56,False
2014-06-08,67,False
2014-06-15,65,False
2014-06-22,100,False
2014-06-29,68,False
2014-07-06,71,False
2014-07-13,57,False
2014-07-20,53,False
2014-07-27,70,False
2014-08-03,45,False
2014-08-10,80,False
2014-08-17,76,False
2014-08-24,58,False
2014-08-31,41,False
2014-09-07,62,False
2014-09-14,59,False
2014-09-21,59,False
2014-09-28,66,False
2014-10-05,53,False
2014-10-12,78,False
2014-10-19,49,False
2014-10-26,66,False
2014-11-02,52,False
2014-11-09,51,False
2014-11-16,36,False
2014-11-23,55,False
2014-11-30,31,False
2014-12-07,74,False
2014-12-14,51,False
2014-12-21,58,False
2014-12-28,72,False
