date,oncoming,isPartial
2015-01-04,56,False
2015-01-11,68,False
2015-01-18,43,False
2015-01-25,54,False
2015-02-01,50,False
2015-02-08,53,False
2015-02-15,48,False
2015-02-22,47,False
2015-03-01,70,False
2015-03-08,59,False
2015-03-15,58,False
2015-03-22,90,False
2015-03-29,61,False
2015-04-05,33,False
2015-04-12,42,False
2015-04-19,73,False
2015-04-26,56,False
2015-05-03,78,False
2015-05-10,48,False
2015-05-17,70,False
2015-05-24,65,False
2015-05-31,42,False
2015-06-07,36,False
2015-06-14,60,False
2015-06-21,43,False
2015-06-28,51,False
2015-07-05,79,False
2015-07-12,90,False
2015-07-19,54,False
2015-07-26,49,False
2015-08-02,64,False
2015-08-09,53,False
2015-08-16,49,False
2015-08-23,52,False
2015-08-30,44,False
2015-09-06,82,False
2015-09-13,52,False
2015-09-20,100,False
2015-09-27,84,False
2015-10-04,69,False
2015-10-11,94,False
2015-10-18,89,False
2015-10-25,80,False
2015-11-01,81,False
2015-11-08,69,False
2015-11-15,82,False
2015-11-22,58,False
2015-11-29,49,False
2015-12-06,37,False
2015-12-13,45,False
2015-12-20,41,False
2015-12-27,65,False
