date,oncoming,isPartial
2013-01-06,71,False
2013-01-13,54,False
2013-01-20,51,False
2013-01-27,46,False
2013-02-03,57,False
2013-02-10,57,False
2013-02-17,23,False
2013-02-24,69,False
2013-03-03,60,False
2013-03-10,56,False
2013-03-17,77,False
2013-03-24,62,False
2013-03-31,47,False
2013-04-07,67,False
2013-04-14,63,False
2013-04-21,88,False
2013-04-28,60,False
2013-05-05,71,False
2013-05-12,35,False
2013-05-19,72,False
2013-05-26,93,False
2013-06-02,55,False
2013-06-09,81,False
2013-06-16,63,False
2013-06-23,67,False
2013-06-30,48,False
2013-07-07,34,False
2013-07-14,65,False
2013-07-21,72,False
2013-07-28,79,False
2013-08-04,93,False
2013-08-11,44,False
2013-08-18,61,False
2013-08-25,76,False
2013-09-01,68,False
2013-09-08,65,False
2013-09-15,65,False
2013-09-22,100,False
2013-09-29,29,False
2013-10-06,90,False
2013-10-13,60,False
2013-10-20,49,False
2013-10-27,76,False
2013-11-03,65,False
2013-11-10,52,False
2013-11-17,70,False
2013-11-24,79,False
2013-12-01,61,False
2013-12-08,64,False
2013-12-15,76,False
2013-12-22,65,False
2013-12-29,62,False
