date,oncoming,isPartial
2011-01-02,57,False
2011-01-09,35,False
2011-01-16,96,False
2011-01-23,75,False
2011-01-30,71,False
2011-02-06,66,False
2011-02-13,75,False
2011-02-20,55,False
2011-02-27,53,False
2011-03-06,72,False
2011-03-13,42,False
2011-03-20,66,False
2011-03-27,60,False
2011-04-03,47,False
2011-04-10,46,False
2011-04-17,68,False
2011-04-24,47,False
2011-05-01,60,False
2011-05-08,87,False
2011-05-15,53,False
2011-05-22,34,False
2011-05-29,57,False
2011-06-05,95,False
2011-06-12,62,False
2011-06-19,54,False
2011-06-26,41,False
2011-07-03,99,False
2011-07-10,73,False
2011-07-17,99,False
2011-07-24,65,False
2011-07-31,85,False
2011-08-07,58,False
2011-08-14,46,False
2011-08-21,64,False
2011-08-28,45,False
2011-09-04,44,False
2011-09-11,92,False
2011-09-18,61,False
2011-09-25,54,False
2011-10-02,60,False
2011-10-09,65,False
2011-10-16,66,False
2011-10-23,100,False
2011-10-30,48,False
2011-11-06,64,False
2011-11-13,46,False
2011-11-20,86,False
2011-11-27,17,False
2011-12-04,67,False
2011-12-11,67,False
2011-12-18,42,False
2011-12-25,55,False
