geoName,crushed
Alabama,49
Alaska,71
Arizona,55
Arkansas,68
California,48
Colorado,56
Connecticut,64
Delaware,62
District of Columbia,51
Florida,48
Georgia,53
Hawaii,49
Idaho,61
Illinois,52
Indiana,65
Iowa,61
Kansas,61
Kentucky,66
Louisiana,59
Maine,72
Maryland,64
Massachusetts,72
Michigan,69
Minnesota,70
Mississippi,53
Missouri,100
Montana,74
Nebraska,73
Nevada,51
New Hampshire,96
New Jersey,63
New Mexico,36
New York,60
North Carolina,64
North Dakota,64
Ohio,58
Oklahoma,68
Oregon,69
Pennsylvania,68
Rhode Island,77
South Carolina,64
South Dakota,67
Tennessee,61
Texas,65
Utah,59
Vermont,71
Virginia,62
Washington,66
West Virginia,65
Wisconsin,52
Wyoming,82
