date,crushed,isPartial
2011-01-02,55,False
2011-01-09,60,False
2011-01-16,61,False
2011-01-23,62,False
2011-01-30,66,False
2011-02-06,62,False
2011-02-13,59,False
2011-02-20,60,False
2011-02-27,66,False
2011-03-06,75,False
2011-03-13,62,False
2011-03-20,69,False
2011-03-27,71,False
2011-04-03,80,False
2011-04-10,74,False
2011-04-17,79,False
2011-04-24,77,False
2011-05-01,73,False
2011-05-08,67,False
2011-05-15,73,False
2011-05-22,78,False
2011-05-29,72,False
2011-06-05,74,False
2011-06-12,81,False
2011-06-19,82,False
2011-06-26,74,False
2011-07-03,70,False
2011-07-10,63,False
2011-07-17,69,False
2011-07-24,72,False
2011-07-31,73,False
2011-08-07,58,False
2011-08-14,79,False
2011-08-21,69,False
2011-08-28,67,False
2011-09-04,66,False
2011-09-11,81,False
2011-09-18,75,False
2011-09-25,59,False
2011-10-02,68,False
2011-10-09,96,False
2011-10-16,77,False
2011-10-23,82,False
2011-10-30,69,False
2011-11-06,77,False
2011-11-13,67,False
2011-11-20,82,False
2011-11-27,58,False
2011-12-04,77,False
2011-12-11,100,False
2011-12-18,83,False
2011-12-25,70,False
